num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,9.41
2,32,32,32,32,1,32,1,32,1,14.04
2,48,48,48,48,1,48,1,48,1,15.69
2,64,64,64,64,1,64,1,64,1,17.98
2,80,80,80,80,1,80,1,80,1,19.33
2,96,96,96,96,1,96,1,96,1,19.40
2,112,112,112,112,1,112,1,112,1,19.82
2,128,128,128,128,1,128,1,128,1,19.37
2,144,144,144,144,1,144,1,144,1,25.93
2,160,160,160,160,1,160,1,160,1,21.65
2,176,176,176,176,1,176,1,176,1,22.43
2,192,192,192,192,1,192,1,192,1,2.29
2,208,208,208,208,1,208,1,208,1,2.88
2,224,224,224,224,1,224,1,224,1,2.95
2,240,240,240,240,1,240,1,240,1,3.20
